epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,789.186,0.73607,3.71357,0.84033,1.31044,0,0.88077,0.58586,0.75088,0.53955,0.68036,0.35354,0.39945,0.14567,0.99611,3.76122,0.90694,1.64053,0,0.0004952,0.0004952,0.0004952
40,806.248,0.74252,3.72758,0.8571,1.30222,0,0.91196,0.57576,0.74013,0.53583,0.78555,0.39394,0.42112,0.14695,0.96546,3.70021,0.86573,1.59168,0,0.0004556,0.0004556,0.0004556
41,826.627,0.69706,3.85027,1.05613,1.44135,0,0.90236,0.56014,0.71768,0.51931,0.65584,0.41384,0.39228,0.12957,0.96182,3.87747,0.96849,1.62134,0,0.000416,0.000416,0.000416
42,846.294,0.71534,3.68661,0.89278,1.4756,0,0.89743,0.56566,0.7384,0.54917,0.64431,0.37879,0.38047,0.11259,0.95711,3.76157,0.95921,1.56393,0,0.0003764,0.0003764,0.0003764
43,866.03,0.67186,3.65023,0.8172,1.44565,0,0.89788,0.57576,0.7449,0.54987,0.65068,0.37879,0.39231,0.12895,0.98827,3.73353,0.91144,1.60694,0,0.0003368,0.0003368,0.0003368
44,885.677,0.6653,3.66388,0.79741,1.42758,0,0.89099,0.57794,0.73956,0.54544,0.67912,0.39394,0.40895,0.13206,0.91659,3.70127,0.87369,1.53557,0,0.0002972,0.0002972,0.0002972
45,905.445,0.66036,3.59455,0.77301,1.41801,0,0.92614,0.55556,0.72686,0.53653,0.69734,0.39565,0.3982,0.13619,0.94906,3.69391,0.87693,1.5674,0,0.0002576,0.0002576,0.0002576
46,925.061,0.64416,3.56321,0.74588,1.38464,0,0.93581,0.56566,0.74662,0.55158,0.62777,0.36364,0.35499,0.12347,0.92298,3.70706,0.8761,1.51966,0,0.000218,0.000218,0.000218
47,944.969,0.62818,3.53098,0.7456,1.38946,0,0.93128,0.55556,0.75044,0.55757,0.67083,0.40143,0.42909,0.14517,0.93506,3.65733,0.85615,1.53825,0,0.0001784,0.0001784,0.0001784
48,965.012,0.63144,3.44949,0.73984,1.38045,0,0.95681,0.55943,0.74875,0.56063,0.69887,0.40909,0.42359,0.13978,0.90697,3.61971,0.84505,1.51051,0,0.0001388,0.0001388,0.0001388
49,984.633,0.63806,3.44594,0.74221,1.38274,0,0.93926,0.55556,0.74799,0.56549,0.70418,0.39899,0.41544,0.1404,0.87987,3.58892,0.84786,1.47717,0,9.92e-05,9.92e-05,9.92e-05
50,1004.54,0.627,3.532,0.74019,1.37946,0,0.94868,0.5404,0.75238,0.56618,0.65954,0.37374,0.37805,0.123,0.88139,3.61096,0.83867,1.4782,0,5.96e-05,5.96e-05,5.96e-05
